,ID,region,name,star,rating,num_review,basic_info,review
0,1000104509,1,부산역 오름 레지던스,0,4.6,333,"· 부산역 도보 3분 거리에 위치한 부산역 오름 레지던스 입니다.· 편안하고 안락한 객실이 다양한 타입으로 준비되어 있습니다.· 지하철 및 각종 대중교통을 이용하기 편한 교통의 중심지에 위치하여, 관광지 접근이 용이합니다.",
1,1000102199,1,구포 바르도 호텔,0,4.4,33,"· 부산 구포 TOP 숙소 신규 호텔 바르도· KTX 구포역 3번 출구 - 도보 7분· 부산지하철 3호선 덕천역 3번 출구 - 도보 5분· 구포시장 - 도보 4분· 김해공항 - 자동차 10분(택시비 약 10,000원)· 1객실 1차량 주차 가능· 전 객실 Netflix 무료 시청 가능  · 35대까지 수용가능한 넉넉-한 주차공간· 실내, 실외 주차 보유 (탑차도 가능)· 타워주차 (산타페급 까지 가능)· 모든 객실과 로비까지 빵빵 터지는 와이파이· 낙동강이 훤히 내려다 보이는 리버뷰를 갖춘 객실· 뽀송함을 선사하는 스타일러를 갖춘 객실 운영· 무료 조식제공· 2019.09 GRAND OPEN 부산 구포 신축 바르도 호텔· 2019.09 GRAND OPEN 신축 호텔입니다.· · 최고의 컨디션, 최상의 청결도!",
2,3001515,1,베스트인 시티 부산역,2,4.1,511,"· 부산의 제일 중심가이며 번화가인 부산역 근처에 위치한 베스트인 시티 호텔!· 효율적인 비지니스 업무에 필요한 최신시설, 현대적이고 감각적인 객실 디자인으로 고객님께 편안함과 아늑함을 선사해드립니다.· 부산의 명물인 국제시장, 자갈치시장, 용두산공원, 송도해수욕장 등과 이동이 간편해 부산여행에 특별한 추억 선사해드립니다!· 부산역 도보 10분 거리, 부산 국제 여객터미널 도보 15분 거리에 위치하고 있습니다.",
3,3017359,1,해운대 소사이어티 호텔,2,4.6,1116,"· 세련된 인테리어의 객실에서 편안한 휴식을 제공합니다.· 해운대 해수욕장, 아쿠아리움 등 관광지와 매우 가까워서 이동하시기에 편리해요.· 지하철 해운대역에서 도보로 5분거리에 위치해 있어서 접근성이 뛰어나요.",
4,1000111341,1,시그니엘 부산,5,5.0,104,"· 시그니엘부산은 해운대의 랜드마크 '엘시티(LCT)'타워에 위치한 260실 규모의 럭셔리 호텔입니다.· '시그니엘서울'에 이은 시그니엘의 두번째 호텔로 부산 해운대의 환상적인 오션뷰와 광안대교를 감상하며 진정한 여유를 누릴 수 있는 완벽한 여정이 준비되어 있습니다.· 지하철 중동역과 해운대역에서 쉬운 접근성을 자랑하며, 인근에 해운대 로데오거리가 위치하고 있습니다.· 다이나믹한 뷰를 즐길 수 있는 인피니티 풀, 럭셔리 코스메틱 브랜드 '샹테카이'의 스파, 투숙객 전용 가든 테라스 등 다채로운 부대시설이 시그니엘의 품격과 어우러져 그동안 부산에서 볼 수 없었던 새로운 가치를 전합니다.· 시그니엘은 세계 최상급 외식문화를 갖춘 호텔입니다.· 시그니엘부산의 라운지, 연회, 웨딩 및 인룸다이닝에서 미쉐린 3스타 셰프 '브루노 메나드(Bruno Menard)'가 컨설팅한 메뉴를 경험할 수 있습니다.· 차오란은 화려하게 번영하였던 1920년대 홍콩의 분위기를 반영한 모던 차이니즈 레스토랑입니다.· 낮에는 딤섬과 차를, 저녁에는 칵테일을 즐길 수 있는 Modern Chinese Tapas & Bar 차오란은 런던 미쉐린 스타 레스토랑 셰프의 다채로운 요리를 선보입니다.· ★국내 호텔 브랜드 최초 코로나 대비 안전성 검증된 GBAC Star 안심호텔 인증 완료",
5,1000101872,1,광안리 그레이 193 호텔,0,4.6,246,"· 2020 아고다 우수 숙소 선정· ""2020 AGODA GOLD CIRCLE AWARD"" 수상· 전객실 넷플릭스 & 공기청정기 설치 완료· 그레이193 호텔과 함께 광안리에서 완벽한 하루를 즐겨 보세요 ❣",
6,1000102506,1,호텔 인트로 해운대,0,4.8,210,"감각적이고 세련된 인테리어를 자랑하는 호텔 인트로 입니다.해운대 해변과 동백섬, 아쿠아리움 등 다양한 관광지와 인접해 있어 이동이 편리합니다.",
7,1000104646,1,더 포인트 호텔 명지점,0,5.0,7,· 명지에 위치하여 이동이 편리한 호텔입니다.· 편안하고 안락한 객실에서 휴식을 즐겨보세요.· 항상 고객님들의 하루를 위해 최선을 다하겠습니다.,
8,1000103535,1,부산 호텔 오유,0,4.7,53,· 부산 명지 호텔 오유가 새롭게 찾아갑니다!· 특급 GRAND OPEN 행사에여러분들을 초대합니다!· 스타필드 시티 명지 인근에 위치한 스타일러를 갖춘 비즈니스 호텔입니다.· 전객실 최신영화를 무료로 즐길수 있습니다. 편안하게 즐기세요.,
9,10041490,1,구포 브라운도트 호텔,0,4.7,7,· 부산 구포에 위지한 브라운도트입니다.,
